,My Certifications,Organization,Concentration,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam & Training Cost,Exam Attempts,Total Costs,Funding Source,Additional Study Expenses,Best Study Resource,Personal Expenses,NOTES,Additional Study Resource,Additional Study Resource2
0,Google Project Management,Google,Project Management,Project Management,,https://www.coursera.org/learn/applying-project-management/home/welcome,Professional Certificate,11/1/2021,2022-05-12,4/1/2022,,75%,,,300.0,1.0,$300.00 ,Vetjobs,,,,,,
1,IBM Data Science,IBM,Data Analysis,Python,Microsoft Excel,https://www.coursera.org/learn/machine-learning-with-python/home/welcome,Professional Certificate,10/1/2022,2022-05-06,7/1/2022,,75%,,,300.0,1.0,$300.00 ,Vetjobs,,,,,,
2,PMI-DASSM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,2/26/2022,2022-04-09,5/1/2022,,0%,,https://my.pmi.org/,270.0,1.0,$270.00 ,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
3,Azure Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,3/26/2022,2022-03-27,3/27/2022,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99.0,1.0,$99.00 ,ESI,,,,,,
4,Intermediate Data Analytics Certificate,University of South Carolina,Data Analysis,Power Bi,Microsoft Excel,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,Professional Certificate,3/14/2022,2022-03-25,3/25/2022,,100%,Done,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,6000.0,1.0,"$6,000.00 ",Proponent Funded, $-   ,,,Moved to virtual due to budget,,
5,Agile Certified Professional,SSGI,Agile,Agile,,https://www.6sigmacertificationonline.com/,Certification,2/1/2022,2022-03-14,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,270.0,1.0,$270.00 ,ArmyIgnited,,,,Pending funding approval 2/1/22,,
6,Lean Expert,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,Certification,2/22/2022,2022-02-23,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,100.0,1.0,$100.00 ,Vetjobs,,,,,,
7,Lean Specialist,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,Certification,2/21/2022,2022-02-22,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,100.0,1.0,$100.00 ,Vetjobs,,,,,,
8,PMI-DASM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,1/10/2022,2022-02-19,,2/19/2023,100%,Done,https://my.pmi.org/,270.0,1.0,$270.00 ,ArmyIgnited,,,,,,
9,Excel Specialist Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2022-02-06,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
10,Excel Core Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2022-02-06,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
11,Excel Developer Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2022-02-06,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
12,Excel Architect Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2022-02-06,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
13,SHMR-SCP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,1/16/2022,2022-01-31,,5/31/2025,100%,Done,https://portal.shrm.org/,300.0,1.0,$300.00 ,ArmyIgnited,,,,,,
14,IBM Data Analyst,IBM,Data Analysis,Python,,https://www.coursera.org/,Professional Certificate,10/1/2021,2022-01-16,,,100%,Done,https://www.coursera.org/account/accomplishments/professional-cert/CMXGKU9D2JRX,300.0,1.0,$300.00 ,Vetjobs,,,,,,
15,Data Science Certificate,Cornell University,Data Analysis,R,,https://ecornell.cornell.edu/,Professional Certificate,11/1/2021,2022-01-10,,,100%,Done,https://ecornell.edu,1500.0,1.0,"$1,500.00 ",Unit,,,,,,
16,Google Data Analytics,Google,Data Analysis,R,Google Sheets,https://www.coursera.org/,Professional Certificate,10/1/2021,2021-12-29,,,100%,Done,https://www.coursera.org/account/accomplishments/professional-cert/WVT55DR6YP55,300.0,1.0,$300.00 ,Vetjobs,,,,,,
17,Excel Associate Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2021-10-27,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
18,Microsoft Power Bi Data Analyst,Microsoft ,Data Analysis,Power Bi,,https://docs.microsoft.com/en-us/learn/,Certification,9/9/2021,2021-10-24,,10/25/2023,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,160.0,3.0,$480.00 ,ESI,,,,,,
19,Azure Data Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,10/11/2021,2021-10-18,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99.0,1.0,$99.00 ,ESI,,,,,,
20,Excel Apprentice Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2021-10-17,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1.0,  $-    ,Self,,,,,,
21,Microsoft Certified Trainer,Microsoft ,Training,Training,,https://docs.microsoft.com/en-us/learn/,Certification,10/7/2021,2021-10-07,,10/7/2022,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,800.0,1.0,$800.00 ,ESI,,,,,,
22,Power Platforms Fundamentals,Microsoft ,Microsoft Power Platforms,Microsoft Power Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,9/27/2021,2021-10-04,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99.0,1.0,$99.00 ,ESI,,,,,,
23,Lean Six Sigma Green Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,2021-10-03,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,199.0,1.0,$199.00 ,ArmyIgnited,,,,,,
24,Lean Six Sigma Master Black Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,2021-10-03,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,500.0,1.0,$500.00 ,ArmyIgnited,,,,,,
25,Teams Administrator,Microsoft ,Microsoft Teams,Microsoft Teams,,https://docs.microsoft.com/en-us/learn/,Certification,7/30/2021,2021-09-13,,9/13/2023,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,160.0,3.0,$480.00 ,ESI,,,,,,
26,365 Fundamentals,Microsoft ,Microsoft Office ,Microsoft Office,,https://docs.microsoft.com/en-us/learn/,Certification,8/1/2021,2021-08-21,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99.0,1.0,$99.00 ,ESI,,,,,,
27,SHRM-CP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,3/1/2021,2021-06-28,,5/31/2025,100%,Done,https://portal.shrm.org/,4000.0,1.0,"$4,000.00 ",Proponent Funded,,https://learnhrm.partnerrc.com/am/@@login?camefrom=/am/%40%40summary,,,,
